name,patent_count
"SAMSUNG DISPLAY CO., LTD.",59307
International Business Machines Corporation,55334
CANON KABUSHIKI KAISHA,31008
SONY GROUP CORPORATION,21835
Fujitsu Limited,19217
Kabushiki Kaisha Toshiba,18072
Intel Corporation,17872
General Electric Company,17726
LG ELECTRONICS INC.,16771
"HITACHI, LTD.",16498
