year,patents_filed
1976,70199
1977,65210
1978,66087
1979,48842
1980,61814
1981,65770
1982,57877
1983,56863
1984,14264
2018,164524
2019,355923
2020,353701
2021,329097
2022,324698
2023,313707
2024,325602
2025,325822
